contamination,n_seeds,accuracy_mean,minority_recall_mean,early_warning_score_mean,contamination_pct,baseline_accuracy_mean,baseline_minority_recall_mean,experimental_accuracy_collapse_threshold,accuracy_drop,minority_recall_drop,accuracy_collapse_ge_0_03,minority_recall_drop_ge_0_03,early_warning_ge_40,early_warning_ge_50,early_warning_ge_60,is_first_accuracy_collapse,is_first_minority_recall_drop,is_first_early_warning_ge_40,is_first_early_warning_ge_50,is_first_early_warning_ge_60
0.0,10,0.9712962962962963,0.9346153846153846,0.0,0.0,0.9712962962962963,0.9346153846153846,0.03,0.0,0.0,False,False,False,False,False,False,False,False,False,False
0.1,10,0.9688888888888888,0.923076923076923,14.169041029664816,10.0,0.9712962962962963,0.9346153846153846,0.03,0.0024074074074075247,0.011538461538461608,False,False,False,False,False,False,False,False,False,False
0.2,10,0.9685185185185186,0.9346153846153846,23.09557631976215,20.0,0.9712962962962963,0.9346153846153846,0.03,0.002777777777777768,0.0,False,False,False,False,False,False,False,False,False,False
0.3,10,0.9631481481481481,0.923076923076923,33.42573669481659,30.0,0.9712962962962963,0.9346153846153846,0.03,0.008148148148148238,0.011538461538461608,False,False,False,False,False,False,False,False,False,False
0.4,10,0.9605555555555556,0.9115384615384615,39.52309302775512,40.0,0.9712962962962963,0.9346153846153846,0.03,0.010740740740740717,0.023076923076923106,False,False,False,False,False,False,False,False,False,False
0.5,10,0.9561111111111111,0.9115384615384615,46.4936170669843,50.0,0.9712962962962963,0.9346153846153846,0.03,0.01518518518518519,0.023076923076923106,False,False,True,False,False,False,False,True,False,False
0.6,10,0.950925925925926,0.8846153846153847,54.0839540364655,60.0,0.9712962962962963,0.9346153846153846,0.03,0.020370370370370372,0.04999999999999993,False,True,True,True,False,False,True,False,True,False
0.7,10,0.9501851851851851,0.9096153846153847,64.15904749524131,70.0,0.9712962962962963,0.9346153846153846,0.03,0.02111111111111119,0.02499999999999991,False,False,True,True,True,False,False,False,False,True
0.8,10,0.9366666666666668,0.873076923076923,72.6593138367828,80.0,0.9712962962962963,0.9346153846153846,0.03,0.034629629629629566,0.06153846153846165,True,True,True,True,True,True,False,False,False,False
0.9,10,0.928888888888889,0.873076923076923,83.58256468995455,90.0,0.9712962962962963,0.9346153846153846,0.03,0.04240740740740734,0.06153846153846165,True,True,True,True,True,False,False,False,False,False
1.0,10,0.9081481481481483,0.8615384615384615,99.0343492590574,100.0,0.9712962962962963,0.9346153846153846,0.03,0.06314814814814806,0.07307692307692315,True,True,True,True,True,False,False,False,False,False
